Region;Percentage;id
Eastern Cape;0.8;0
Free State;1.9;1
Guateng;6;2
KwaZulu-Natal;0.8;3
Limpopo;2.3;4
Mpumalanga;2.7;5
North West;1.4;6
Northern Cape;1.4;7
Western Cape;3.1;8
